timestamp,from_me,text
2024-07-05 17:05:42,0,so does he end up killing himself
2024-07-06 02:07:45,1,yes he did 
2024-07-06 02:08:23,1,the end is in the perspective of the dad that adopted him and he died and a bunch of other people died 
2024-07-06 02:08:42,1,ending was boring i give it 2/5 
2024-07-06 02:28:32,0,that’s so sad
2024-07-06 02:28:38,0,800 pages and the ending wasn’t even good
2024-07-06 02:28:43,0,is ur laptop ok now
2024-07-06 02:51:15,1,i know truly disappointing 
2024-07-06 02:52:14,1,yes she’s fine now but her memories all gone and i didn’t think about how i put all my passwords on my stickers app so… hahaha 
2024-07-06 02:52:33,1,i forgot to wish u happy america day yesterday
2024-07-06 03:02:09,0,oh noo do u not use the same password for everything
2024-07-06 03:02:23,0,right ty i almost forgot myself
2024-07-06 03:06:06,1,no bc i use a basic email so everytime they require a special character or smth i need to change it up 
2024-07-06 03:06:19,0,yk what it’s ok the important thing is that she’s ok
2024-07-06 03:06:19,1,how could u forget such an important day 
2024-07-06 03:06:32,0,idk if not much of a patriot tbh
2024-07-06 03:06:39,0,always seemed a little bit silly to me
2024-07-06 03:10:30,1,oh thank god patriotic americans pisses me off 
2024-07-06 03:10:41,1,like what are u proud of 
2024-07-06 03:43:55,0,ya it’s a bit odd
2024-07-06 03:44:00,0,to each their own ig
2024-07-06 04:06:00,1,yeah i guess
2024-07-06 04:06:22,1,i hate waking up and being tired it defeats the whole point of waking up 
2024-07-06 04:14:26,0,ur circadian rhythm is just in a silly goofy mood
2024-07-06 04:14:30,0,did u not sleep well
2024-07-06 04:55:50,1,i did wake up at 7 for like 5 minutes but i slept well 
2024-07-06 04:56:33,1,anywho how was ur extraordinary normal day 
2024-07-06 05:17:40,0,it was solid i did all the normal stuff that i do
2024-07-06 05:18:10,0,average level of extraordinary
2024-07-06 05:18:17,0,wbu what are ur plans for the day
2024-07-06 05:20:50,1,just took a really great nap i need to pack and do my mmw hw for next week bc we’re flying on tuesday
2024-07-06 05:21:21,1,also i have to figure out the routes for the trip bc my dad doesn’t know if he should drive or if we should take the train 
2024-07-06 05:22:27,0,oh wait that’s exciting
2024-07-06 05:22:45,0,i mean not the mmw part but i didn’t realize you were leaving for ur trip alr
2024-07-06 05:23:08,0,ah yes leave the planning to megan
2024-07-06 05:28:07,1,yes i’m just the best planner ever and i know so much about europe 
2024-07-06 05:28:48,1,yaa im excited tbh i hate the hong kong heat i want to leave 
2024-07-06 05:34:58,0,ofc that’s why he trusted you to plan the route
2024-07-06 05:35:07,0,hopefully it’s a lot of fun
2024-07-06 05:35:19,0,traveling around europe’s sounds like a good experience
2024-07-06 05:51:07,1,yaa i’m weirdly excited for the holocaust museums in germany 
2024-07-06 05:51:49,1,i just hope my parents get along well 
2024-07-06 06:02:12,0,i understand the excitement
2024-07-06 06:02:24,0,i wanna go to auschwitz one day
2024-07-06 06:02:42,0,yes hopefully if not u can be their therapist
2024-07-06 06:08:49,1,yeaa it’s so interesting i think there’s a concentration camp in hamburg but idk if my mom wants to go 
2024-07-06 06:09:03,1,i think i want to retire from that career 
2024-07-06 06:14:13,0,u should def try to convince her
2024-07-06 06:14:29,0,i have no doubt that it’d be valuable to go
2024-07-06 06:14:50,0,mm yea i’ve heard the pay is not so great
2024-07-06 06:35:52,0,u right u right
2024-07-06 06:36:08,0,wow ur such a great person
2024-07-06 06:36:19,0,what a role model
2024-07-06 06:52:53,1,i try i’m no gandhi 
2024-07-06 06:53:08,1,so what’s interesting in the 18th to early 19th century 
2024-07-06 07:01:12,0,uhm
2024-07-06 07:01:14,0,america
2024-07-06 07:01:18,0,was born i think 
2024-07-06 07:01:38,0,that’s all i got
2024-07-06 07:07:05,1,thank you that was extremely helpful 
